Record ID,Car Name,Problem Classification,Problem Description,Severity,Diagnosis,How to Fix the Problem,Solution Used,ECU Data,Service History,Repair Status,Results
1,Honda Civic 2019,Electrical,Headlights flicker,Medium,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Spark plugs replaced 2 years ago,Fixed,Resolved
2,Toyota Corolla 2018,Electrical,Power window failure,Medium,Window regulator motor,Check and repair loose or damaged wiring connections,Check and repair wiring,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
3,BMW i4 2019,Engine,Engine misfire,High,Timing belt failure,Replace spark plugs,Replaced failure,P0101,Regular maintenance,Fixed,Resolved
4,Nissan Rogue 2020,Transmission,Transmission overheating,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,None,Spark plugs replaced 2 years ago,Fixed,Resolved
5,Mercedes S-Class 2020,Battery,Battery drains fast,High,Dead battery,Replace battery and test charging system,Replaced battery,None,Brake service 1 year ago,Fixed,Resolved
6,Nissan Murano 2022,Transmission,Slipping gears,Medium,Transmission fluid thick,Replace transmission fluid,Replaced thick,Multiple codes,Regular maintenance,Fixed,Resolved
7,Ford Bronco 2018,Electrical,Car wont start,Low,Dead battery,Replace alternator and test battery condition,Repair in progress,Multiple codes,Brake service 1 year ago,In Progress,Monitoring
8,Kia Sportage 2018,Engine,Engine overheating,High,Timing belt failure,Replace spark plugs,Replaced failure,Multiple codes,Coolant flush last year,Fixed,Resolved
9,BMW X7 2022,Electrical,Battery drains fast,Low,Loose wiring,Secure and repair connections,Secure and repair connections,P0400,Spark plugs replaced 2 years ago,Fixed,Resolved
10,Nissan Frontier 2018,Electrical,Power window failure,Low,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Oil changed 6 months ago,Fixed,Resolved
11,Nissan Leaf 2016,Brakes,Soft brake pedal,Medium,Warped rotors,Refill brake fluid,Refill brake fluid,None,Regular maintenance,Fixed,Resolved
12,Mercedes S-Class 2020,Engine,Engine overheating,Medium,Timing belt failure,Replace faulty ignition coil and spark plugs,Replaced failure,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
13,Ford Bronco 2016,Transmission,Transmission overheating,Medium,Clutch pack wear,Refill transmission fluid,Refill transmission fluid,Multiple codes,None,Fixed,Resolved
14,Kia Carnival 2015,Engine,Engine overheating,Medium,Spark plug wear,Replace faulty ignition coil and spark plugs,Replaced wear,None,Regular maintenance,Fixed,Resolved
15,BMW 5 Series 2023,Electrical,Headlights flicker,Medium,Dead battery,Replace regulator motor,Replaced battery,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
16,Mercedes GLE 2019,Brakes,Brake noise,High,Low brake fluid,Resurface or replace rotors,Replaced fluid,None,Regular maintenance,Fixed,Resolved
17,Toyota C-HR 2023,Electrical,Power window failure,Medium,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Brake service 1 year ago,Fixed,Resolved
18,Toyota Sienna 2016,Battery,Battery drains fast,High,Starter motor failure,Test charging system,Test charging system,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
19,BMW X7 2018,Engine,Check engine light on,Medium,Timing belt failure,Replace spark plugs,Replaced failure,Multiple codes,None,Fixed,Resolved
20,Honda Civic 2021,Transmission,Gear grinding,High,Transmission fluid low,Refill transmission fluid,Refill transmission fluid,None,Spark plugs replaced 2 years ago,Fixed,Resolved
21,Hyundai Accent 2018,Engine,Smoke from exhaust,High,Fuel pump issue,Replace the catalytic converter with a new OEM part,Replaced issue,None,Regular maintenance,Fixed,Resolved
22,Ford Ranger 2022,Brakes,Squealing brakes,High,Low brake fluid,Replace brake master cylinder and bleed brake system,Replaced fluid,P0010,Transmission service 2 years ago,Fixed,Resolved
23,Hyundai Venue 2023,Brakes,Squealing brakes,Medium,Worn pads,Replace brake pads and rotors,Replaced pads,Multiple codes,None,Fixed,Resolved
24,Kia Sportage 2015,Battery,Battery warning light,Low,Faulty alternator,Replace battery and test charging system,Repair in progress,None,Regular maintenance,In Progress,Monitoring
25,Honda Pilot 2021,Engine,Engine stalling,Medium,Ignition coil failure,Replace fuel pump,Replaced failure,None,Spark plugs replaced 2 years ago,Fixed,Resolved
26,Mercedes A-Class 2019,Electrical,Battery drains fast,Low,Loose wiring,Replace alternator and test battery condition,Replaced wiring,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
27,Kia Sorento 2015,Brakes,Vibration when braking,High,Warped rotors,Replace brake master cylinder and bleed brake system,Replaced rotors,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
28,Kia Sorento 2018,Transmission,Gear shift hard,Medium,Transmission fluid low,Replace solenoid pack,Replaced low,P0500,None,Fixed,Resolved
29,Mercedes S-Class 2016,Electrical,Battery drains fast,Low,Wiring issue,Check and repair loose or damaged wiring connections,Check and repair wiring,P0100,Transmission service 2 years ago,Fixed,Resolved
30,Chevrolet Camaro 2018,Transmission,Transmission overheating,High,Transmission solenoid,Replace transmission fluid,Pending replace transmission fluid,None,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
31,Toyota Camry 2020,Electrical,Battery drains fast,Medium,Loose wiring,Replace battery and test charging system,Replaced wiring,Multiple codes,None,Fixed,Resolved
32,Honda CR-V 2023,Engine,Engine overheating,High,Fuel pump issue,Replace fuel pump,Replaced issue,None,Transmission service 2 years ago,Fixed,Resolved
33,Toyota Sienna 2018,Electrical,Dashboard flickering,Medium,Faulty alternator,Replace regulator motor,Pending replace regulator motor,Multiple codes,Oil changed 6 months ago,Not Fixed,Unresolved
34,Ford Escape 2021,Engine,Engine misfire,High,Spark plug wear,Replace timing belt,Replaced wear,None,Transmission service 2 years ago,Fixed,Resolved
35,Honda Fit 2015,Brakes,Squealing brakes,Medium,Worn pads,Refill brake fluid,Refill brake fluid,None,None,Fixed,Resolved
36,Chevrolet Colorado 2020,Transmission,Gear grinding,High,Transmission fluid thick,Replace transmission fluid,Replaced thick,Multiple codes,Coolant flush last year,Fixed,Resolved
37,Honda HR-V 2017,Battery,Clicking sound when starting,Medium,Dead battery,Replace battery and test charging system,Replaced battery,Multiple codes,Coolant flush last year,Fixed,Resolved
38,Mercedes E-Class 2021,Battery,Battery drains fast,Medium,Starter motor failure,Replace battery and test charging system,Replaced failure,Multiple codes,Brake service 1 year ago,Fixed,Resolved
39,Nissan Rogue 2020,Battery,Clicking sound when starting,Medium,Dead battery,Replace starter motor,Replaced battery,P0430,Coolant flush last year,Fixed,Resolved
40,Hyundai Veloster 2017,Electrical,Car wont start,Low,Dead battery,Secure and repair connections,Secure and repair connections,P0200,None,Fixed,Resolved
41,Hyundai Sonata 2021,Battery,Clicking sound when starting,Low,Charging system fault,Test charging system,Test charging system,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
42,Ford Explorer 2019,Battery,Clicking sound when starting,High,Dead battery,Replace alternator and test battery condition,Replaced battery,None,Oil changed 6 months ago,Fixed,Resolved
43,Toyota Highlander 2022,Battery,Car wont start,Medium,Charging system fault,Test charging system,Pending test charging system,None,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
44,Nissan Pathfinder 2017,Engine,Check engine light on,High,Timing belt failure,Replace faulty ignition coil and spark plugs,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
45,Mercedes GLE 2016,Brakes,Squealing brakes,Medium,Low brake fluid,Resurface or replace rotors,Repair in progress,P0420,Battery replaced 1 year ago,In Progress,Monitoring
46,Mercedes GLA 2023,Brakes,Squealing brakes,Medium,Low brake fluid,Refill brake fluid,Refill brake fluid,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
47,BMW X5 2019,Brakes,Brake pedal hard,High,Worn brake pads,Replace brake pads and resurface rotors,Replaced pads,Multiple codes,Regular maintenance,Fixed,Resolved
48,Ford Focus 2021,Electrical,Headlights flicker,Medium,Wiring issue,Replace battery and test charging system,Replaced issue,P0400,Spark plugs replaced 2 years ago,Fixed,Resolved
49,Chevrolet Colorado 2021,Battery,Car wont start,Medium,Charging system fault,Test charging system,Test charging system,P0300,Spark plugs replaced 2 years ago,Fixed,Resolved
50,Mercedes G-Class 2018,Brakes,Squealing brakes,Medium,Worn brake pads,Refill brake fluid,Refill brake fluid,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
51,Ford Expedition 2017,Battery,Car wont start,High,Charging system fault,Replace battery and test charging system,Replaced fault,None,Battery replaced 1 year ago,Fixed,Resolved
52,Toyota Tacoma 2021,Transmission,Slipping gears,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
53,Honda Passport 2015,Battery,Car wont start,High,Starter motor failure,Replace alternator and test battery condition,Replaced failure,None,None,Fixed,Resolved
54,Chevrolet Silverado 2017,Electrical,Headlights flicker,Low,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,P0101,Transmission service 2 years ago,Fixed,Resolved
55,Ford Maverick 2016,Electrical,Battery drains fast,Low,Wiring issue,Replace regulator motor,Replaced issue,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
56,Chevrolet Equinox 2018,Engine,Engine overheating,Medium,Fuel pump issue,Replace the catalytic converter with a new OEM part,Replaced issue,None,Coolant flush last year,Fixed,Resolved
57,Nissan Frontier 2016,Battery,Clicking sound when starting,Low,Dead battery,Test charging system,Test charging system,P0011,Coolant flush last year,Fixed,Resolved
58,BMW X3 2021,Electrical,Power window failure,Low,Faulty alternator,Replace regulator motor,Replaced alternator,P0400,Battery replaced 1 year ago,Fixed,Resolved
59,Hyundai Palisade 2018,Engine,Engine overheating,High,Timing belt failure,Replace faulty ignition coil and spark plugs,Replaced failure,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
60,Toyota Prius 2020,Electrical,Car wont start,Low,Loose wiring,Replace alternator and test battery condition,Replaced wiring,P0300,Transmission service 2 years ago,Fixed,Resolved
61,Toyota Avalon 2018,Engine,Engine misfire,Medium,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
62,BMW 4 Series 2015,Engine,Engine overheating,High,Ignition coil failure,Replace timing belt,Replaced failure,Multiple codes,Coolant flush last year,Fixed,Resolved
63,Mercedes G-Class 2020,Brakes,Vibration when braking,High,Worn brake pads,Replace brake pads and rotors,Replaced pads,P0200,Transmission service 2 years ago,Fixed,Resolved
64,Honda Pilot 2020,Engine,Engine stalling,High,Ignition coil failure,Replace faulty ignition coil and spark plugs,Replaced failure,P0302,Transmission service 2 years ago,Fixed,Resolved
65,Chevrolet Tahoe 2018,Transmission,Slipping gears,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,P0100,None,Fixed,Resolved
66,Mercedes S-Class 2017,Brakes,Brake pedal hard,High,Worn master cylinder,Resurface or replace rotors,Replaced cylinder,P0302,Coolant flush last year,Fixed,Resolved
67,Toyota Tacoma 2022,Engine,Check engine light on,High,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,None,Fixed,Resolved
68,Ford Maverick 2019,Engine,Engine misfire,Medium,Catalytic converter issue,Replace fuel pump,Replaced issue,Multiple codes,Brake service 1 year ago,Fixed,Resolved
69,Nissan Armada 2022,Transmission,Transmission overheating,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,Multiple codes,Regular maintenance,Fixed,Resolved
70,Chevrolet Tahoe 2016,Electrical,Headlights flicker,Low,Loose wiring,Replace regulator motor,Replaced wiring,P0010,Battery replaced 1 year ago,Fixed,Resolved
71,BMW X1 2015,Electrical,Battery drains fast,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,P0101,Brake service 1 year ago,Fixed,Resolved
72,Honda Ridgeline 2018,Electrical,Battery drains fast,Low,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
73,Honda Passport 2019,Brakes,Brake noise,High,Warped rotors,Resurface or replace rotors,Replaced rotors,Multiple codes,None,Fixed,Resolved
74,Kia EV6 2019,Engine,Check engine light on,Medium,Ignition coil failure,Replace fuel pump,Replaced failure,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
75,Toyota RAV4 2022,Battery,Battery warning light,High,Starter motor failure,Replace alternator and test battery condition,Repair in progress,Multiple codes,Battery replaced 1 year ago,In Progress,Monitoring
76,BMW 7 Series 2021,Transmission,Gear shift hard,Medium,Transmission wear,Refill transmission fluid,Refill transmission fluid,P0500,Transmission service 2 years ago,Fixed,Resolved
77,Nissan Versa 2015,Brakes,Brake pedal hard,Medium,Worn brake pads,Replace brake pads and rotors,Replaced pads,Multiple codes,None,Fixed,Resolved
78,Mercedes GLB 2021,Engine,Engine misfire,High,Fuel pump issue,Replace spark plugs,Replaced issue,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
79,Chevrolet Tahoe 2023,Electrical,Battery drains fast,Low,Dead battery,Replace battery and test charging system,Replaced battery,Multiple codes,Brake service 1 year ago,Fixed,Resolved
80,Ford Mustang 2023,Engine,Engine stalling,Medium,Timing belt failure,Replace the catalytic converter with a new OEM part,Replaced failure,P0011,Regular maintenance,Fixed,Resolved
81,Ford Expedition 2019,Battery,Clicking sound when starting,Medium,Charging system fault,Test charging system,Repair in progress,P0101,Oil changed 6 months ago,In Progress,Monitoring
82,Chevrolet Spark 2023,Electrical,Dashboard flickering,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,P0400,None,Fixed,Resolved
83,Hyundai Nexo 2022,Electrical,Car wont start,Low,Window regulator motor,Replace battery and test charging system,Replaced motor,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
84,Kia Telluride 2018,Battery,Battery warning light,Medium,Faulty alternator,Test charging system,Test charging system,P0500,Spark plugs replaced 2 years ago,Fixed,Resolved
85,Ford Expedition 2015,Electrical,Power window failure,Medium,Window regulator motor,Replace alternator and test battery condition,Pending replace alternator,None,Battery replaced 1 year ago,Not Fixed,Unresolved
86,Ford Ranger 2017,Engine,Smoke from exhaust,High,Spark plug wear,Replace spark plugs,Replaced wear,Multiple codes,Regular maintenance,Fixed,Resolved
87,Mercedes GLA 2020,Brakes,Vibration when braking,High,Worn master cylinder,Resurface or replace rotors,Replaced cylinder,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
88,Honda Fit 2016,Engine,Smoke from exhaust,High,Ignition coil failure,Replace spark plugs,Pending replace spark plugs,P0010,None,Not Fixed,Unresolved
89,Kia Rio 2021,Electrical,Headlights flicker,Medium,Window regulator motor,Replace battery and test charging system,Replaced motor,None,Oil changed 6 months ago,Fixed,Resolved
90,Nissan Leaf 2018,Brakes,Vibration when braking,Medium,Worn pads,Replace brake pads and resurface rotors,Replaced pads,P0200,Transmission service 2 years ago,Fixed,Resolved
91,Toyota Prius 2019,Battery,Battery drains fast,Low,Dead battery,Test charging system,Pending test charging system,P0420,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
92,Hyundai Accent 2019,Electrical,Car wont start,Low,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,P0420,Transmission service 2 years ago,Fixed,Resolved
93,Hyundai Elantra 2021,Transmission,Gear grinding,High,Clutch pack wear,Perform transmission service and inspect for internal damage,Pending perform transmission service,P0500,Transmission service 2 years ago,Not Fixed,Unresolved
94,Kia Telluride 2018,Battery,Clicking sound when starting,Medium,Faulty alternator,Replace battery and test charging system,Pending replace battery,None,Transmission service 2 years ago,Not Fixed,Unresolved
95,Toyota C-HR 2020,Electrical,Dashboard flickering,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,None,Oil changed 6 months ago,Fixed,Resolved
96,Kia Niro 2023,Transmission,Slipping gears,High,Transmission fluid thick,Replace solenoid pack,Repair in progress,Multiple codes,Coolant flush last year,In Progress,Monitoring
97,BMW 5 Series 2017,Electrical,Car wont start,Low,Window regulator motor,Replace alternator and test battery condition,Replaced motor,None,Transmission service 2 years ago,Fixed,Resolved
98,Honda Passport 2020,Transmission,Transmission overheating,Medium,Transmission solenoid,Replace transmission fluid,Replaced solenoid,P0101,None,Fixed,Resolved
